Nome: CAMPOS NOVOS
Codigo Estacao: A898
Latitude: -27.3886111
Longitude: -51.21583333
Altitude: 963
Situacao: Operante
Data Inicial: 2022-09-01
Data Final: 2023-10-31
Periodicidade da Medicao: Diaria

Data Medicao;PRECIPITACAO TOTAL, DIARIO (AUT)(mm);TEMPERATURA MAXIMA, DIARIA (AUT)(°C);TEMPERATURA MEDIA, DIARIA (AUT)(°C);TEMPERATURA MINIMA, DIARIA (AUT)(°C);UMIDADE RELATIVA DO AR, MEDIA DIARIA (AUT)(%);VENTO, RAJADA MAXIMA DIARIA (AUT)(m/s);VENTO, VELOCIDADE MEDIA DIARIA (AUT)(m/s);
2022-11-18;0;26.8;18.913043;11.1;47.304348;13.7;5.678261;
2022-11-19;0;26.3;18.175;11.1;63.208333;12.1;6.325;
2022-11-20;0;28.7;19.754167;12.3;63.458333;13.3;5.154167;
2022-11-21;0;28.6;20.568182;16.5;73.636364;12.5;4.563636;
2022-11-22;13;22.5;18.682609;16.1;89.347826;9.7;2.608696;
2022-11-23;null;25.2;20.286364;16.4;73.136364;9.9;2.081818;
2022-11-24;0;26.6;19.765217;13;63.391304;8.1;3.134783;
2022-11-25;0;27;19.647826;12.3;67.73913;10.9;3.3;
2022-11-26;0;27.7;18.633333;11.8;73.958333;14.7;4.525;
2022-11-27;2.2;24.8;18.7;16;82.791667;15.5;6.225;
2022-11-28;.2;24.1;17.645833;12.9;79.666667;13.5;5.708333;
2022-11-29;1.2;26.5;18.075;14.1;83.666667;14.9;5.333333;
2022-11-30;2.2;27;18.458333;15.7;87.041667;13.2;4.566667;
2022-12-01;17.8;27.8;19.182609;16.6;85.73913;10.6;3.46087;
2022-12-02;10;30.2;21.383333;16.6;77.791667;10.2;2.791667;
2022-12-03;5;27.6;22.395652;17.3;77.130435;7.6;2.947826;
2022-12-04;0;28.1;22.136364;18.8;78.636364;11.5;3.295455;
2022-12-05;0;27.8;21.3;17;80.375;10;2.608333;
2022-12-06;0;30.5;22.470833;18.5;76.541667;17.6;3.591667;
